seed,hypervolume,spread,spacing,pf_size,time,f1_max,f2_max,f1_min,f2_min,dataset,task,model,algorithm
3378,17.500000000000004,,,5,7.54138708114624,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
5206,17.500000000000004,,,5,7.456630229949951,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
9235,17.500000000000004,,,5,7.3599629402160645,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
8185,17.500000000000004,,,5,7.367546081542969,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
8577,17.500000000000004,,,5,7.482103109359741,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
9616,17.500000000000004,,,5,7.377196788787842,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
6067,17.500000000000004,,,5,7.424691915512085,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
1770,17.500000000000004,,,5,7.480771064758301,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
9305,17.500000000000004,,,5,7.275960683822632,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
5510,17.500000000000004,,,5,7.253407955169678,0.9333333333333333,3.0,-inf,0.0,lymphography,classification,LogReg,smsemoa
8527,16.233333333333334,0.8820729024789274,1.2033333333333331,3,9.385335922241211,0.8666666666666667,5.0,0.7,1.0,lymphography,classification,SVC,replica
2114,16.76666666666667,0.8821184357365852,11.867037037037036,3,11.331934928894043,0.9,9.0,0.8,1.0,lymphography,classification,SVC,replica
4033,16.700000000000003,0.9414466331175212,0.7243333333333333,6,13.764089822769165,0.9,6.0,0.7,1.0,lymphography,classification,SVC,replica
7445,16.733333333333334,0.8627209709300472,0.9691666666666666,4,10.775469064712524,0.9,6.0,0.7,1.0,lymphography,classification,SVC,replica
1174,16.433333333333334,0.941055519430715,0.0,2,10.851423978805542,0.8666666666666667,2.0,0.8,1.0,lymphography,classification,SVC,replica
