model,mean_hv,std_hv,population_size,generations,seeding_prop,ones_prop,crossover_prob,mutation_prob,ls_start,ls_end
LogReg,30.811267605633798,0.24839895983153226,100,20,0.25,0.0,0.6,0.05,0.2,0.5
LogReg,30.909859154929574,0.022884615224327953,100,20,0.2,0.03,0.4,0.1,0.05,0.8
LogReg,31.00845070422535,0.276802670344523,100,20,0.2,0.01,1.0,0.01,0.15,0.6
LogReg,30.771830985915493,0.18177200906931354,100,20,0.4,0.02,0.4,0.1,0.1,0.3
LogReg,30.966197183098593,0.1381718137287954,100,20,0.15,0.04,0.7,0.1,0.25,0.5
LogReg,30.83098591549296,0.1519561009494219,100,20,0.35,0.03,0.8,0.09,0.25,0.8
LogReg,31.028169014084504,0.2612286900139641,100,20,0.15,0.0,0.9,0.01,0.25,0.8
LogReg,30.814084507042253,0.16483086015017095,100,20,0.3,0.02,0.6,0.09,0.2,0.7
LogReg,30.923943661971826,0.23187735918035607,100,20,0.15,0.03,0.9,0.01,0.3,0.5
LogReg,30.80281690140845,0.13999744946241227,100,20,0.35,0.0,0.6,0.1,0.25,0.8
LogReg,30.907042253521126,0.20363684024707387,100,20,0.2,0.04,0.9,0.05,0.25,0.7
LogReg,31.07887323943662,0.16559930655435548,100,20,0.15,0.01,0.7,0.05,0.05,0.5
LogReg,30.67605633802817,0.15834895011329625,100,20,0.4,0.01,0.8,0.01,0.2,0.8
LogReg,30.68169014084507,0.16892016169650645,100,20,0.35,0.05,0.4,0.03,0.05,0.6
LogReg,30.895774647887322,0.021079759925486205,100,20,0.3,0.01,0.9,0.03,0.2,0.8
LogReg,30.833802816901407,0.25405265094950846,100,20,0.25,0.0,0.6,0.01,0.1,0.6
LogReg,30.605633802816904,0.16641189281962657,100,20,0.4,0.0,0.4,0.03,0.1,0.7
LogReg,31.033802816901407,0.15699013851371887,100,20,0.35,0.04,0.4,0.03,0.15,0.7
LogReg,30.91830985915493,0.13753865482516897,100,20,0.4,0.02,0.6,0.1,0.2,0.7
LogReg,30.79154929577465,0.2180871194461499,100,20,0.25,0.03,0.4,0.07,0.2,0.7
LogReg,30.754929577464786,0.1679780452493024,100,20,0.3,0.03,0.4,0.03,0.05,0.6
LogReg,30.72112676056338,0.23029784153205196,100,20,0.1,0.02,0.6,0.09,0.2,0.5
LogReg,30.876056338028167,0.2204394089748032,100,20,0.15,0.03,0.4,0.01,0.2,0.7
LogReg,30.822535211267603,0.14269211427508585,100,20,0.15,0.02,0.8,0.01,0.2,0.4
LogReg,31.070422535211264,0.167599715838237,100,20,0.2,0.04,0.8,0.09,0.15,0.5
LogReg,30.966197183098593,0.1622104794240883,100,20,0.1,0.02,0.7,0.07,0.15,0.4
LogReg,30.997183098591545,0.13696051584386787,100,20,0.25,0.05,1.0,0.07,0.1,0.8
LogReg,30.91830985915493,0.23235595073015447,100,20,0.3,0.04,0.9,0.1,0.15,0.3
LogReg,31.061971830985915,0.16391365099691413,100,20,0.1,0.04,0.7,0.07,0.25,0.6
